tissue	gene	effect_size_combined	pval_combined	hierFDR_combined	n_snps_used_combined	effect_size_males	pval_males	hierFDR_males	n_snps_used_males	effect_size_females	pval_females	hierFDR_females	n_snps_used_females
LIFE_Whole.Blood	SPP1	-0.0217350535043648	0.482976920712035		1048	-0.0273082600438303	0.523519747579715		551	-0.0150795978518893	0.738129985384955		497
LIFE_Whole.Blood	PLAU	-0.0378942162817952	0.22118914968811		1048	-0.0269160049532394	0.529504430206596		551	-0.0412968928211297	0.359701072745411		497
LIFE_Whole.Blood	CTSZ	-0.0270495307633381	0.382603225801581		1048	-0.0120862911334603	0.777715725553559		551	-0.0460078766315609	0.307479006734125		497
LIFE_Whole.Blood	LTBR	0.088593492280265	0.0041734034049894		1048	0.152716026633544	0.000333359725034009		551	0.0233029112679638	0.605371763652301		497
LIFE_Whole.Blood	PRTN3	0.0694018759362351	0.0249315846661751		1048	0.0519300223189304	0.224864659707015		551	0.0899694049115335	0.0456452647198566		497
LIFE_Whole.Blood	SCGB3A2	-0.0229718197470363	0.458420115543896		1048	-0.0688139663539299	0.107589409738146		551	0.0210474794703572	0.640735843002854		497
LIFE_Whole.Blood	ALCAM	0.0536051302426875	0.0834152743330087		1048	0.0923181614553307	0.0307112445226255		551	0.0111980062998162	0.803929067395016		497
LIFE_Whole.Blood	TNFRSF10C	-0.0279519325529581	0.366924658572326		1048	-0.00116412226971466	0.978308840465735		551	-0.0519094883065227	0.249485584172068		497
LIFE_Whole.Blood	CTSD	0.185600900957509	3.73515540367296e-09		998	0.225540041352634	1.96236747136329e-07		524	0.128650773896818	0.00516981855752581		474
LIFE_Whole.Blood	TFRC	0.266864874014705	1.75673806642295e-18		1048	0.29132472977124	3.51070908045347e-12		551	0.254333106889312	9.86376548021368e-09		497
LIFE_Whole.Blood	RETN	0.220785250222585	5.41509478675111e-13		1048	0.216103668843564	3.2596147884246e-07		551	0.237512989196481	9.1799674885088e-08		497
LIFE_Whole.Blood	IL2RA	0.130334457411078	2.39769044877637e-05		1048	0.215188855954902	3.66391976163344e-07		551	0.0260583596649568	0.563394511795508		497
LIFE_Whole.Blood	TNFRSF1A	0.0826834288184515	0.00751850324413178		1048	0.112881560501198	0.00817116751778177		551	0.0523288029826103	0.245676523646448		497
LIFE_Whole.Blood	CPB1	0.058347179065605	0.0594835565081699		1048	0.0465491492839511	0.276688197296915		551	0.0716321026172559	0.111809350745763		497
LIFE_Whole.Blood	PI3	0.0471684974181698	0.12773799524604		1048	0.0723248029389143	0.0907547344820013		551	0.0247327664770865	0.583414183459031		497
LIFE_Whole.Blood	EGFR	-0.0635805921542536	0.0399786783805118		1048	-0.0584685674828926	0.171701121073978		551	-0.073775578977009	0.101458679077676		497
LIFE_Whole.Blood	TNFRSF14	0.109738898001442	0.000381940388599017		1048	0.130286885306441	0.00224304540537173		551	0.0875592245768	0.0517860935446672		497
LIFE_Whole.Blood	COL1A1	-0.0344458463363706	0.266148462288867		1048	-0.0342497207876097	0.423612647505509		551	-0.0351754854318068	0.435346683070819		497
LIFE_Whole.Blood	AXL	-0.022817205097258	0.461451330435577		1048	-0.0303604483840355	0.478162827335838		551	-0.0153043248499526	0.734373369448766		497
LIFE_Whole.Blood	CD93	0.0926303187032202	0.00273694761936049		1048	0.0685847430606976	0.108769077673648		551	0.118646111862547	0.00829816871876453		497
LIFE_Whole.Blood	PGLYRP1	0.0682417769128853	0.0274619190574981		1048	0.078695198299119	0.0656425897274539		551	0.0630624626812924	0.161670368472983		497
LIFE_Whole.Blood	MPO	0.0590043991048081	0.0566674380572386		1048	0.0413575332903585	0.333865161197974		551	0.0897314418115678	0.0462230039729458		497
LIFE_Whole.Blood	TFPI	-0.0074674055539753	0.809560099943043		1048	-0.0158820331758541	0.710664857373836		551	-0.015488703484653	0.731295952353345		497
LIFE_Whole.Blood	SELP	0.14478225312026	2.63721922338582e-06		1048	0.211768116707241	5.64757418411955e-07		551	0.0750315493278457	0.095756532306684		497
LIFE_Whole.Blood	CCL2	0.119855738004658	0.000103592469258995		1048	0.188253030857347	9.1410017226572e-06		551	0.0614892039409628	0.172411805303704		497
LIFE_Whole.Blood	BLMH	-0.0450712066612117	0.155628631622125		998	-0.0334718941577434	0.445828007606501		524	-0.0528443856096762	0.252370921903524		474
LIFE_Whole.Blood	CD163	-0.123191154951505	6.58314218435596e-05		1048	-0.121212582483485	0.00448992468856584		551	-0.124043699163982	0.00576786768717902		497
LIFE_Whole.Blood	GRN	0.0468711953778848	0.130159750538629		1048	0.0453738474313716	0.289010282555747		551	0.049951830505768	0.267812498694096		497
LIFE_Whole.Blood	IGFBP2	-0.0128875504590676	0.677462746844562		1048	-0.0513610381929966	0.229992561773628		551	0.0264309224971968	0.557827942815418		497
LIFE_Whole.Blood	CXCL16	-0.0522167335851201	0.0917373439133184		1048	-0.0951496545961049	0.0259228418388625		551	0.00788354209851052	0.861253048439377		497
LIFE_Whole.Blood	IL17RA	0.0899292848042796	0.00363611996132105		1048	0.0942762589274447	0.0273260538327354		551	0.0766508343660987	0.0887856474865238		497
LIFE_Whole.Blood	AZU1	0.0516120227599024	0.0955643997273905		1048	0.0288327459456949	0.50059356557987		551	0.0860771558856064	0.0558937135653101		497
LIFE_Whole.Blood	GP6	0.173463218806821	1.69194657217937e-08		1048	0.208508272604952	8.47359590294938e-07		551	0.130338118554603	0.0037083702464808		497
LIFE_Whole.Blood	TREML2	0.0232405530841301	0.453178235311228		1048	0.0155442445274081	0.716550743508533		551	0.0310213598165493	0.491513823520287		497
LIFE_Whole.Blood	SERPINE1	0.0696286214256211	0.0244613032924743		1048	0.0740954113107725	0.0831043489385581		551	0.0616876694061036	0.171028168765948		497
LIFE_Whole.Blood	VWF	0.0866879477258184	0.00506460580906328		1048	0.089732592103464	0.0357264180127647		551	0.076493891831892	0.0894429060963414		497
LIFE_Whole.Blood	IL6R	-0.029586796155595	0.33955621760644		1048	-0.045492936975368	0.287745196826515		551	-0.0151847260279312	0.736371843274071		497
LIFE_Whole.Blood	SIRPA	0.0449219349975753	0.146928738923626		1048	0.0227790358456136	0.594660211504099		551	0.0731023057957124	0.10462452985577		497
LIFE_Whole.Blood	CSTB	0.145266510873583	2.43972981847303e-06		1048	0.157233114946759	0.000219594566082708		551	0.133706693233478	0.00290484731515712		497
LIFE_Whole.Blood	ANPEP	0.0653894714772393	0.0346411373501582		1048	0.0408055700821562	0.340362191849489		551	0.086510173071883	0.0546665206577205		497
LIFE_Whole.Blood	TNFRSF1B	0.0995412644824923	0.00128000751903022		1048	0.105791584507813	0.0132188091141392		551	0.0934811732928625	0.0378006933877022		497
LIFE_Whole.Blood	SFTPD	0.0822693455104943	0.00782500403777322		1048	0.0793691841658572	0.06335779707502		551	0.0864133986436535	0.0549388224632318		497
LIFE_Whole.Blood	IL1R2	-0.0561565587089006	0.0697190573863695		1048	-0.0774483533401087	0.0700478121526459		551	-0.0457032165224746	0.310696716602818		497
LIFE_Whole.Blood	FABP4	0.0596700756462666	0.0539289264537962		1048	0.0600342673273949	0.160490686216818		551	0.0548976015641449	0.223228623109429		497
LIFE_Whole.Blood	KLK6	0.00587754844594422	0.849557125080163		1048	0.0132786453687291	0.756447649264645		551	0.00246293420920633	0.956454864990942		497
LIFE_Whole.Blood	ICAM2	0.0713506254220509	0.0211337527800437		1048	0.0830364585103719	0.0520462286389845		551	0.0557051174267945	0.216484058209285		497
LIFE_Whole.Blood	SPON1	0.00561416742275876	0.856223610993926		1048	-0.0101037661232165	0.813441172318475		551	0.021239843075976	0.637686218267172		497
LIFE_Whole.Blood	MMP9	0.196213049283833	1.61073843993457e-10		1048	0.186010848240835	1.17181935660203e-05		551	0.197377934302152	9.8984534017596e-06		497
LIFE_Whole.Blood	IL1R1	-0.0296035542419444	0.339282623955291		1048	-0.00052148952735044	0.990282100281103		551	-0.0663014344121175	0.141153415252975		497
LIFE_Whole.Blood	TFF3	0.0553344098511083	0.0739153545509133		1048	0.0353661881146076	0.408651348356427		551	0.0581163164737229	0.197218235715938		497
LIFE_Whole.Blood	LDLR	0.0037460854045943	0.903774087738722		1048	-0.0049599091940255	0.907776110494635		551	0.0127075380671496	0.778146701684633		497
LIFE_Whole.Blood	IGFBP7	0.00675097022785231	0.827529084803192		1048	-0.0195699246298386	0.647586313623622		551	0.0399354960759282	0.375770837628602		497
LIFE_Whole.Blood	TNFSF13B	0.242924580168818	1.73083891112042e-15		1048	0.247220154077912	4.48197409441274e-09		551	0.247794298616529	2.39385525108187e-08		497
LIFE_Whole.Blood	ACP5	-0.0253272534549418	0.413643106081382		1048	-0.0705620539418949	0.0989223182246957		551	0.0293030825722405	0.51583228976772		497
LIFE_Whole.Blood	ITGB2	0.0186222244879495	0.547817488450307		1048	0.0205986971196717	0.630407678410484		551	0.022357504309864	0.620089519826192		497
LIFE_Whole.Blood	SELE	-0.0234192344236278	0.44971168225099		1048	-0.0334460281627064	0.434577699196921		551	-0.0226571300879883	0.615408227900952		497
LIFE_Whole.Blood	EPHB4	-0.123452376629399	6.35039437937511e-05		1048	-0.0819736044086903	0.0551364161673875		551	-0.167912049727149	0.000177378742272788		497
LIFE_Whole.Blood	IL1RL1	0.0430813025565628	0.164232184275009		1048	0.0657544897230631	0.124189878007676		551	0.0154864297082192	0.731333877259352		497
LIFE_Whole.Blood	CCL15	-0.0101869014099157	0.742334775014876		1048	-0.00863986213257872	0.840076269089694		551	-0.0198399829236585	0.660015436574915		497
LIFE_Whole.Blood	FAS	0.0690253083813908	0.0257298830840023		1048	0.0434504848043152	0.309959632858892		551	0.109511291590022	0.0148847119692548		497
LIFE_Whole.Blood	IL18BP	0.128957928898358	2.92500010783831e-05		1048	0.0964321143078818	0.0239751850766335		551	0.165186082541561	0.000226463257425119		497
LIFE_Whole.Blood	PDGFA	0.0709301351763061	0.0219076922356669		1048	0.0694347230254179	0.104445460686017		551	0.0631566802249982	0.161043455540667		497
LIFE_Whole.Blood	MB	-0.0244926591682903	0.429205133583503		1048	-0.0407501593011001	0.341018852293239		551	-0.00650036798773162	0.885410912889995		497
LIFE_Whole.Blood	PLAUR	0.0954338170618339	0.00202245492169		1048	0.0845963699507903	0.0477735067984423		551	0.110127697972605	0.0143268318221829		497
LIFE_Whole.Blood	CASP3	0.0485831346922001	0.116691049201254		1048	0.0383351626685813	0.370421951316385		551	0.0615877848028584	0.171723491876751		497
LIFE_Whole.Blood	F11R	-0.0369984807016941	0.23230811740383		1048	-0.0700397046412752	0.101451857197669		551	0.00137945897110066	0.975602617456551		497
LIFE_Whole.Blood	EPCAM	0.0139389582569857	0.652808628034663		1048	0.0532710673470593	0.213102204696009		551	-0.0296944448022909	0.510239209558919		497
LIFE_Whole.Blood	CHI3L1	0.175892353809551	1.05832117689232e-08		1048	0.116558014274973	0.00630201439273413		551	0.258532001621559	5.50875449210705e-09		497
