Parameter	Gene	ENSG	FullName	Cytoband	chr	start_hg19	stop_hg19	start_hg38	stop_hg38	GE_ok	Sample size	mean_combined	sd_combined	mean_males	sd_males	mean_females	sd_females	pval_males_females
TR_AP	ACP5	ENSG00000102575	Tartrate-resistant acid phosphatase type 5	19p13.2	19	11685475	11689823	11574660	11579008	yes	2014	3.34534834657398	0.372589703482903	3.41149054807692	0.36777088404768	3.27472422997947	0.364837633534614	2.21193651758744e-16
ALCAM	ALCAM	ENSG00000170017	CD166 antigen	3q13.11	3	105085713	105295744	105366909	105576900	yes	2014	7.13788486097319	0.301687735504866	7.05554280769231	0.283638322715734	7.22580656057495	0.295643677094816	6.59016833462565e-39
AP_N	ANPEP	ENSG00000166825	Aminopeptidase N	15q26.1	15	90328120	90358633	89784895	89815401	yes	2014	4.82024972194638	0.317586851627236	4.83172090384615	0.31685208109142	4.80800123203285	0.318075506174367	0.039036743699837
AXL	AXL	ENSG00000167601	Tyrosin-protein kinase receptor UFO	19q13.2	19	41725108	41767671	41219223	41261766	yes	2014	8.85121159880834	0.353028072661875	8.87585001923077	0.34428638441304	8.82490363449692	0.360450302040437	0.00244253122403601
AZU1	AZU1	ENSG00000172232	Azurocidin	19p13.3	19	825097	832017	825097	832018	yes	2014	0.376305119326689	0.152262556144137	0.379040904474074	0.147185731618518	0.373383952434205	0.157526309766457	0.12389014423747
BLM_hydrolase	BLMH	ENSG00000108578	Bleomycin hydrolase	17q11.2	17	28575213	28619184	30248203	30292056	yes	1926	2.0032475337487	0.358154128357941	2.01147922613065	0.360217981564439	1.99444996777658	0.355918091716141	0.0925065122742489
CASP_3	CASP3	ENSG00000164305	Caspase-3	4q35.1	4	185548850	185570663	184627696	184649509	yes	2014	6.93491548659384	0.846625869428363	6.82049407692308	0.840667330676133	7.05709029774127	0.836248759142477	2.74210864771337e-10
CCL15	CCL15	ENSG00000275718	C-C motif chemokine 15	17q12	17	34323476	34329084	35996440	36001553	yes	2014	6.64714189672294	0.521664891162432	6.64092609615385	0.505589634903256	6.65377889117043	0.538481252295942	0.947485859079406
CCL16	CCL16	ENSG00000275152	C-C motif chemokine 16	17q12	17	34303529	34308532	35976493	35981497	no	2014	6.14301928003972	0.560317091445061	6.23380054807692	0.516627799186409	6.04608650924025	0.588477750338014	8.98862869999913e-14
MCP_1	CCL2	ENSG00000108691	Monocyte cheomtactic protein 1	17q12	17	32582296	32584222	34255218	34257203	yes	2014	3.60743409632572	0.369339402823669	3.64320259615385	0.363088856786082	3.56924185831622	0.372307368043147	2.68163919924188e-06
CCL24	CCL24	ENSG00000106178	C-C motif chemokine 24	7q11.23	7	75440983	75452674	75810825	75823356	no	2014	4.76784489076465	0.93419174118482	4.83190841346154	0.917871815154668	4.69944030800821	0.947003793411935	0.00160641628990037
CD163	CD163	ENSG00000177575	Scavenger receptor cysteine-rich type 1 protein M130	12p13.31	12	7623409	7656489	7470813	7503893	yes	2014	7.9217748510427	0.544516760833828	7.94466584615385	0.548293374526818	7.89733272073922	0.539664754383147	0.0637041088800846
CD93	CD93	ENSG00000125810	Complement component C1q receptor	20p11.21	20	23059986	23066977	23079360	23086324	yes	2014	10.6627265491559	0.340467460186375	10.6735732884615	0.340799654083509	10.6511448151951	0.33990518485934	0.189806392854217
CDH5	CDH5	ENSG00000179776	Cadherin-5	16q21	16	66400525	66438689	66366622	66404784	no	2014	4.38511427010924	0.393043262850882	4.39406706730769	0.392614062478628	4.37555481519507	0.39347770562872	0.399802328003451
CHI3L1	CHI3L1	ENSG00000133048	Chitinase-3-like protein 1	1q32.1	1	203148059	203155922	203178931	203186704	yes	2014	3.78080723932473	0.951133865879549	3.90156195192308	1.00613645398871	3.65186996919918	0.870861858160917	1.36975244812948e-07
CHIT1	CHIT1	ENSG00000133063	Chitotriosidase-1	1q32.1	1	203181955	203242769	203212827	203273641	no	2014	5.16283311817279	1.19112674115123	5.23997691346154	1.22325947553188	5.08046191991786	1.150758389124	0.00040601667166911
CNTN1	CNTN1	ENSG00000018236	Contactin-1	12q12	12	41086244	41466220	40692439	41072415	no	2014	4.50125755213506	0.370510790839727	4.39719246153846	0.351102644649377	4.61237428131417	0.35838475217942	1.05789614597376e-39
COL1A1	COL1A1	ENSG00000108821	Collagen alpha-1(I) chain	17q21.33	17	48260650	48279000	50184101	50201632	yes	2014	2.81552781529295	0.404665084839575	2.75583696153846	0.372424394595333	2.87926342915811	0.427552015254696	1.92815812684177e-12
CPA1	CPA1	ENSG00000091704	Carboxypeptidase A1	7q32.2	7	130020180	130027955	130380339	130388114	no	2014	5.85708465243297	0.703399225633927	5.91091348076923	0.750480405197862	5.79960828542095	0.644811229567697	0.00054414201960854
CPB1	CPB1	ENSG00000153002	Carboxypeptidase B	3q24	3	148508889	148577974	148791102	148860187	yes	2014	5.58975623138034	0.681900719348598	5.64334215384615	0.72423292863945	5.53253922997947	0.628933829917357	0.00053446652303462
CSTB	CSTB	ENSG00000160213	Cystatin-B	21q22.3	21	45192393	45196326	43772511	43776330	yes	2014	3.73857086891758	0.478167179008933	3.70207653846154	0.471905141192248	3.7775381211499	0.481962894245883	6.97990842768196e-05
CTSD	CTSD	ENSG00000117984	Cathepsin D	11p15.5	11	1773982	1785222	1752755	1764573	yes	1926	2.49626853063344	0.467599879689441	2.56705898492462	0.473583588674529	2.42061170784103	0.449192358288423	3.43838073798874e-12
CTSZ	CTSZ	ENSG00000101160	Cathepsin Z	20q13.32	20	57570240	57582309	58995185	59007254	yes	2014	5.34294854518371	0.427146429981244	5.39594674038462	0.413031801721782	5.28635909650924	0.434852750906583	1.8541039747451e-09
CXCL16	CXCL16	ENSG00000161921	C-X-C motif chemokine 16	17p13.2	17	4636821	4643223	4733531	4739928	yes	2014	4.87046143495531	0.325602839994823	4.82903972115385	0.323709464506651	4.91468995893224	0.321942347420288	5.9719999964851e-10
