NR	Parameter	Gene	ENSG	UniProtID	OlinkID	LOD	N_blod	FullName	GE_ok	Cytoband	chr	start_hg19	stop_hg19	start_hg38	stop_hg38	mean_combined	sd_combined	mean_males	sd_males	mean_females	sd_females	pval_males_females
1	BMP_6	BMP6	ENSG00000153162	P22004	OID00379	1.01714	0	Bone Morphogenetic Protein 6	TRUE	6p24.3	6	7726332	7881961	7726099	7881728	5.00015067102138	0.6483711029857	5.0777501659751	0.572469140372011	4.89625356944444	0.725394564678032	5.78602521005587e-07
2	ANGPT1	ANGPT1	ENSG00000154188	Q15389	OID00380	1.12711	0	Angiopoietin 1	TRUE	8q23.1	8	108261710	108510146	107249482	107498055	11.4275043111639	0.230351862142106	11.4080238381743	0.240118857785417	11.4535865	0.213988968459183	0.00015845867866653
3	ADM	ADM	ENSG00000148926	P35318	OID00381	1.34286	0	Adrenomedullin	TRUE	11p15.4	11	10326620	10328944	10305073	10307397	8.71768356888361	0.520319688798899	8.71768649377593	0.505399530846851	8.71767965277778	0.540006059406859	0.762567542104602
4	CD40_L	CD40LG	ENSG00000102245	P29965	OID00382	0.68428	0	CD40 ligand	TRUE	Xq26.3	23	135730317	135742549	136648158	136660390	8.37552952494062	0.61856019967079	8.34893593360996	0.658813394518941	8.41113538888889	0.55862635923696	0.25253125545467
5	SLAMF7	SLAMF7	ENSG00000026751	Q9NQ25	OID00383	1.88025	0	SLAM Family Member 7	TRUE	1q23.3	1	160708847	160724611	160739057	160754821	4.24798478622328	0.685734652943677	4.32663412863071	0.690472255461556	4.14268205555556	0.66539905518167	1.49832360719512e-08
6	PGF	PGF	ENSG00000119630	P49763	OID00384	0.81818	0	Placental Growth Factor	TRUE	14q24.3	14	75408533	75422467	74941830	74955764	8.05223754750594	0.340691416499962	8.10733117219917	0.337886198737957	7.97847330555556	0.330549998952378	3.55425525224787e-17
7	ADAM_TS13	ADAMTS13	ENSG00000160323	Q76LX8	OID00385	0.58762	0	ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13	TRUE	9q34.2	9	136279457	136324508	133414337	133459403	6.83959660332542	0.123532072322126	6.82731791493776	0.124178125000621	6.85603640277778	0.120806751783465	6.74038053418438e-07
8	BOC	BOC	ENSG00000144857	Q9BWV1	OID00386	0.34446	0	BOC Cell Adhesion Associated, Oncogene Regulated	TRUE	3q13.2	3	112930404	113006306	113211003	113287463	4.74046849168646	0.304567992763366	4.76375340248963	0.316935533648624	4.70929258333333	0.284421338117148	0.000209834437023919
9	IL_4RA	IL4R	ENSG00000077238	P24394	OID00387	1.12849	0	Interleukin 4 Receptor	TRUE	16p12.1	16	27325295	27376099	27313668	27364778	2.81419260095012	0.417981450966422	2.8474676659751	0.421359920346738	2.76964098611111	0.409489127624699	3.0993550728783e-05
10	SRC	SRC	ENSG00000197122	P12931	OID00388	0.38094	0	SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase	TRUE	20q11.23	20	35973102	36034453	37344685	37406050	6.4928332719715	0.559691982930918	6.48351398340249	0.577281591695951	6.50531076388889	0.535380884597166	0.698159581447552
11	IL_1ra	IL1RN	ENSG00000136689	P18510	OID00389	2.5589	0	Interleukin 1 Receptor Antagonist	TRUE	2q14.1	2	113875548	113891591	113099365	113134016	6.51842360451306	0.581258452938169	6.44237631742739	0.563049438596163	6.62024247222222	0.59000326066872	1.747627737387e-09
12	IL6	IL6	ENSG00000136244	P05231	OID00390	0.97714	1	Interleukin 6	TRUE	7p15.3	7	22766819	22771617	22725884	22732002	3.73538635391924	0.975254256081337	3.76270289419087	1.01089382407968	3.69881254166667	0.924822420742337	0.457913971124315
13	TNFRSF10A	TNFRSF10A	ENSG00000104689	O00220	OID00391	1.12714	0	TNF Receptor Superfamily Member 10a	TRUE	8p21.3	8	23047965	23082615	23190452	23225102	3.54932726840855	0.406037472407937	3.52742828838174	0.411173535550058	3.57864756944444	0.397454713231437	0.00302342539100343
14	STK4	STK4	ENSG00000101109	Q13043	OID00392	0.47918	0	Serine/Threonine Kinase 4	TRUE	20q13.12	20	43595153	43708662	44966470	45080021	3.23985129453682	0.617110747036453	3.28318967842324	0.640699313838939	3.18182601388889	0.579419335142468	0.00110653945361843
15	IDUA	IDUA	ENSG00000127415	P35475	OID00393	-0.26918	0	Alpha-L-Iduronidase	TRUE	4p16.3	4	980785	998352	986997	1004564	6.60241968295067	0.384646182116302	6.5807292219917	0.392607903096655	6.63146080012352	0.372014480854177	0.00510892866260454
16	TNFRSF11A	TNFRSF11A	ENSG00000141655	Q9Y6Q6	OID00394	1.02483	0	TNF Receptor Superfamily Member 11a	TRUE	18q21.33	18	59992543	60058521	62325287	62391288	6.7396891152019	0.481544127859704	6.69244828838174	0.463258533969547	6.80293933333333	0.498345376068435	3.19147323126928e-05
